text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,2024,1,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,2,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,3,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,4,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,5,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,6,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,7,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,8,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,9,876,125,15,30,0.034,7,0,0.585,0.1161,0.0523,0.1032,0.01,0.0278,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.1224,0.0417,0.102,0.2404,0.1183,0.1483
1,2024,10,876,125,47,47,0.054,21,0,0.6402,0.2791,0.1176,0.186,0.08,0.1389,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.2569,0.1308,0.1835,0.2404,0.1183,0.1483
1,2024,11,876,125,47,47,0.054,21,0,0.6402,0.2791,0.1176,0.186,0.08,0.1389,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.2569,0.1308,0.1835,0.2404,0.1183,0.1483
1,2024,12,876,125,47,47,0.054,21,0,0.6402,0.2791,0.1176,0.186,0.08,0.1389,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.2569,0.1308,0.1835,0.2404,0.1183,0.1483
1,2024,13,876,125,47,47,0.054,21,0,0.6402,0.2791,0.1176,0.186,0.08,0.1389,0.6816,0.2751,0.1558,0.1424,0.34,0.3889,429,0,extracted,0.2569,0.1308,0.1835,0.2404,0.1183,0.1483
