text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,123,22,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,23,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,24,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,25,1130,100,125,77,0.068,64,0,0.6447,0.3842,0.1257,0.2034,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2885,0.0784,0.2115,0.2011,0.0745,0.1164
1,123,26,1130,100,125,77,0.068,64,0,0.6447,0.3842,0.1257,0.2034,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2885,0.0784,0.2115,0.2011,0.0745,0.1164
1,123,27,1130,100,125,77,0.068,64,0,0.6447,0.3842,0.1257,0.2034,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2885,0.0784,0.2115,0.2011,0.0745,0.1164
1,123,28,1130,100,125,77,0.068,64,0,0.6447,0.3842,0.1257,0.2034,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2885,0.0784,0.2115,0.2011,0.0745,0.1164
1,123,29,1130,100,125,77,0.068,64,0,0.6447,0.3842,0.1257,0.2034,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2885,0.0784,0.2115,0.2011,0.0745,0.1164
1,123,30,1130,100,151,89,0.079,78,0,0.6623,0.4762,0.2246,0.2011,0.2165,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3585,0.0962,0.2075,0.2011,0.0745,0.1164
1,123,31,1130,100,151,89,0.079,78,0,0.6623,0.4762,0.2246,0.2011,0.2165,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3585,0.0962,0.2075,0.2011,0.0745,0.1164
1,123,32,1130,100,151,89,0.079,78,0,0.6623,0.4762,0.2246,0.2011,0.2165,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3585,0.0962,0.2075,0.2011,0.0745,0.1164
1,123,33,1130,100,151,89,0.079,78,0,0.6623,0.4762,0.2246,0.2011,0.2165,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3585,0.0962,0.2075,0.2011,0.0745,0.1164
1,123,34,1130,100,151,89,0.079,78,0,0.6623,0.4762,0.2246,0.2011,0.2165,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3585,0.0962,0.2075,0.2011,0.0745,0.1164
1,123,35,1130,100,181,112,0.099,90,0,0.6348,0.4151,0.1238,0.1698,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3419,0.0348,0.1368,0.2011,0.0745,0.1164
