text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,42,1,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,2,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,3,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,4,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,5,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,6,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,7,1186,109,13,16,0.013,9,0,0.6141,0.128,0.0488,0.096,0.03,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1842,0.0541,0.1316,0.1985,0.0599,0.1241
1,42,8,1186,109,58,32,0.027,37,0,0.621,0.2695,0.0863,0.1702,0.06,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1687,0.0247,0.1205,0.1985,0.0599,0.1241
1,42,9,1186,109,58,32,0.027,37,0,0.621,0.2695,0.0863,0.1702,0.06,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1687,0.0247,0.1205,0.1985,0.0599,0.1241
1,42,10,1186,109,58,32,0.027,37,0,0.621,0.2695,0.0863,0.1702,0.06,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1687,0.0247,0.1205,0.1985,0.0599,0.1241
1,42,11,1186,109,58,32,0.027,37,0,0.621,0.2695,0.0863,0.1702,0.06,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1687,0.0247,0.1205,0.1985,0.0599,0.1241
1,42,12,1186,109,58,32,0.027,37,0,0.621,0.2695,0.0863,0.1702,0.06,0.0741,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.1687,0.0247,0.1205,0.1985,0.0599,0.1241
1,42,13,1186,109,92,58,0.049,54,0,0.6418,0.3353,0.0727,0.1437,0.06,0.1111,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.3774,0.0577,0.2075,0.1985,0.0599,0.1241
1,42,14,1186,109,92,58,0.049,54,0,0.6418,0.3353,0.0727,0.1437,0.06,0.1111,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.3774,0.0577,0.2075,0.1985,0.0599,0.1241
1,42,15,1186,109,92,58,0.049,54,0,0.6418,0.3353,0.0727,0.1437,0.06,0.1111,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.3774,0.0577,0.2075,0.1985,0.0599,0.1241
1,42,16,1186,109,92,58,0.049,54,0,0.6418,0.3353,0.0727,0.1437,0.06,0.1111,0.6724,0.2571,0.1169,0.1345,0.35,0.4444,512,1,extracted,0.3774,0.0577,0.2075,0.1985,0.0599,0.1241
