text_idx,seed,b1_bert_f1,b1_rouge1,b1_rouge2,b1_rougeL,b1_kw_content,b2_bert_f1,b2_rouge1,b2_rouge2,b2_rougeL,b2_kw_content,b3_bert_f1,b3_rouge1,b3_rouge2,b3_rougeL,b3_kw_content,b4_bert_f1,b4_rouge1,b4_rouge2,b4_rougeL,b4_kw_content
1,2024,0.6816,0.2751,0.1558,0.1424,0.3889,0.7086,0.4055,0.1968,0.205,0.3611,0.729,0.4813,0.328,0.246,0.5833,0.6998,0.4296,0.2506,0.2032,0.5556
2,2024,0.6209,0.1834,0.0764,0.0865,0.2609,0.6904,0.2984,0.1387,0.1381,0.4348,0.7024,0.3378,0.1833,0.1662,0.5217,0.6892,0.2977,0.1207,0.1514,0.2609
3,2024,0.6994,0.3129,0.1664,0.1578,0.4762,0.7141,0.4876,0.2697,0.2397,0.5952,0.7126,0.5057,0.2517,0.2278,0.5238,0.6578,0.3892,0.1934,0.2081,0.381
4,2024,0.6809,0.2992,0.1445,0.1515,0.3714,0.6637,0.3033,0.0982,0.1337,0.2286,0.6537,0.3598,0.1534,0.1707,0.2571,0.6895,0.3962,0.1835,0.2453,0.2857
5,2024,0.7068,0.2489,0.1318,0.1312,0.6842,0.6882,0.2595,0.1154,0.1374,0.4211,0.7141,0.3019,0.1646,0.1887,0.5263,0.733,0.314,0.1718,0.2184,0.5263
6,2024,0.6509,0.3599,0.1922,0.2005,0.3667,0.6762,0.4399,0.2284,0.2543,0.2667,0.6711,0.4,0.2138,0.2375,0.2667,0.6682,0.3974,0.2164,0.2541,0.2333
7,2024,0.658,0.1605,0.0745,0.0921,0.4286,0.6916,0.2767,0.1268,0.1699,0.5714,0.7079,0.2857,0.1584,0.1527,0.5714,0.689,0.3065,0.1351,0.1452,0.5714
8,2024,0.6638,0.1761,0.08,0.1229,0.45,0.6771,0.2103,0.0991,0.1459,0.4,0.6789,0.2834,0.1398,0.1818,0.55,0.6906,0.2989,0.104,0.1839,0.3
9,2024,0.6549,0.1994,0.0862,0.1074,0.3571,0.6915,0.341,0.1528,0.1567,0.5,0.6897,0.3506,0.1737,0.158,0.4286,0.6941,0.3567,0.1588,0.2105,0.2857
10,2024,0.6682,0.3964,0.2242,0.161,0.4524,0.6951,0.5185,0.2769,0.2346,0.4286,0.6961,0.5564,0.294,0.2542,0.4286,0.6722,0.4684,0.2306,0.2155,0.2857
11,2024,0.6526,0.1647,0.0697,0.0875,0.2963,0.6898,0.2929,0.1345,0.1339,0.4444,0.6797,0.3651,0.1534,0.1853,0.5185,0.6861,0.2635,0.1283,0.1597,0.3704
12,2024,0.6758,0.1605,0.1006,0.1146,0.65,0.6693,0.2179,0.0788,0.1176,0.5,0.6626,0.2449,0.1128,0.1531,0.45,0.6583,0.2467,0.1055,0.0945,0.4
13,2024,0.6809,0.2406,0.1208,0.1353,0.6364,0.7044,0.3158,0.1562,0.1303,0.6364,0.6969,0.3399,0.1652,0.1643,0.5,0.6607,0.2718,0.0782,0.1553,0.2273
14,2024,0.6488,0.1881,0.1079,0.1075,0.5882,0.6599,0.2378,0.1166,0.1646,0.2941,0.692,0.2875,0.1801,0.1853,0.4706,0.6922,0.3037,0.1716,0.1852,0.4706
15,2024,0.7019,0.2892,0.1903,0.1596,0.72,0.7208,0.4053,0.2595,0.2272,0.6,0.7256,0.3783,0.2545,0.1932,0.64,0.7081,0.3789,0.2313,0.2302,0.52
16,2024,0.6445,0.1935,0.0744,0.0968,0.3333,0.6868,0.3137,0.1408,0.1849,0.2857,0.6773,0.3045,0.1055,0.1522,0.381,0.6917,0.3207,0.1585,0.1413,0.4762
17,2024,0.623,0.1491,0.0367,0.0844,0.381,0.6683,0.2105,0.0854,0.1174,0.619,0.6829,0.2949,0.1186,0.1394,0.5714,0.654,0.2287,0.0733,0.1071,0.4762
18,2024,0.6975,0.2451,0.1229,0.1286,0.6,0.7062,0.3227,0.1689,0.1682,0.48,0.6891,0.3791,0.1657,0.1813,0.48,0.7082,0.3324,0.1114,0.1749,0.32
19,2024,0.6514,0.1613,0.0769,0.1089,0.4706,0.661,0.1905,0.0691,0.1005,0.3529,0.6655,0.2527,0.0945,0.1444,0.4706,0.6644,0.2784,0.1328,0.1392,0.3529
20,2024,0.6441,0.2771,0.1278,0.1338,0.3043,0.6951,0.3568,0.1814,0.2291,0.3478,0.6695,0.3944,0.1416,0.2141,0.2609,0.6466,0.4051,0.1374,0.1924,0.3913
21,2024,0.7096,0.2819,0.1351,0.1812,0.5,0.6878,0.2868,0.1293,0.1962,0.35,0.6854,0.3301,0.1667,0.2233,0.35,0.7165,0.4021,0.1667,0.2371,0.5
22,2024,0.6261,0.1623,0.0749,0.1053,0.3571,0.6194,0.16,0.047,0.1067,0.2143,0.6411,0.2394,0.1089,0.1467,0.2857,0.6418,0.2517,0.1027,0.1293,0.3571
23,2024,0.6612,0.1118,0.0737,0.0863,0.7857,0.664,0.1679,0.0723,0.0911,0.4286,0.6771,0.1862,0.1148,0.1201,0.7143,0.6517,0.1688,0.0818,0.1125,0.4286
24,2024,0.6837,0.2298,0.1446,0.1475,0.6364,0.6917,0.2826,0.1747,0.1609,0.5,0.7063,0.3578,0.1888,0.1877,0.5,0.6801,0.3222,0.1508,0.1722,0.4091
25,2024,0.6432,0.2194,0.0766,0.1113,0.2963,0.6855,0.385,0.1989,0.2032,0.4444,0.6927,0.4,0.1516,0.2145,0.2593,0.6778,0.3837,0.0994,0.1628,0.2222
26,2024,0.6859,0.3416,0.164,0.1781,0.4,0.6644,0.4204,0.1535,0.2208,0.3143,0.6894,0.4487,0.1803,0.2179,0.3429,0.6757,0.4784,0.1535,0.2697,0.2857
27,2024,0.6876,0.1161,0.0932,0.0871,0.9091,0.6451,0.136,0.0617,0.0965,0.4545,0.685,0.1728,0.139,0.1383,0.7273,0.6884,0.1828,0.1135,0.1237,0.5455
28,2024,0.6669,0.2563,0.1069,0.1687,0.4737,0.6568,0.3243,0.1202,0.2162,0.3684,0.7198,0.3892,0.1421,0.2486,0.3158,0.6821,0.3974,0.1879,0.2119,0.3684
29,2024,0.6829,0.209,0.1339,0.1538,0.7,0.6554,0.2641,0.1261,0.1039,0.5,0.6702,0.3021,0.1518,0.1458,0.45,0.6777,0.2827,0.1526,0.1518,0.4
30,2024,0.6792,0.2634,0.1379,0.1336,0.4483,0.6763,0.2939,0.1217,0.1499,0.3448,0.6923,0.3833,0.1965,0.223,0.3793,0.6882,0.3986,0.1505,0.1637,0.3448
