text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
14,123,0.5,0.6819,0.3385,0.0853,0.1692,0.2
14,123,0.6,0.7004,0.4049,0.1061,0.17,0.2
14,123,0.7,0.7004,0.4049,0.1061,0.17,0.2
14,123,0.8,0.7004,0.4049,0.1061,0.17,0.2
14,123,0.9,0.7004,0.4049,0.1061,0.17,0.2
15,123,0.5,0.7205,0.4033,0.1992,0.2551,0.2941
15,123,0.6,0.7205,0.4033,0.1992,0.2551,0.2941
15,123,0.7,0.6767,0.3347,0.1152,0.2286,0.1765
15,123,0.8,0.6697,0.2251,0.0611,0.1558,0.1176
15,123,0.9,0.6697,0.2251,0.0611,0.1558,0.1176
16,123,0.5,0.6718,0.3725,0.1316,0.1699,0.3571
16,123,0.6,0.6718,0.3725,0.1316,0.1699,0.3571
16,123,0.7,0.6718,0.3725,0.1316,0.1699,0.3571
16,123,0.8,0.6718,0.3725,0.1316,0.1699,0.3571
16,123,0.9,0.6712,0.3451,0.1489,0.1972,0.3214
17,123,0.5,0.6955,0.3033,0.0744,0.1557,0.3043
17,123,0.6,0.6955,0.3033,0.0744,0.1557,0.3043
17,123,0.7,0.6955,0.3033,0.0744,0.1557,0.3043
17,123,0.8,0.6955,0.3033,0.0744,0.1557,0.3043
17,123,0.9,0.6749,0.3077,0.1008,0.1538,0.3478
18,123,0.5,0.6792,0.3458,0.1365,0.1492,0.36
18,123,0.6,0.6792,0.3458,0.1365,0.1492,0.36
18,123,0.7,0.715,0.3734,0.2038,0.1899,0.44
18,123,0.8,0.6631,0.2817,0.078,0.1338,0.24
18,123,0.9,0.6631,0.2817,0.078,0.1338,0.24
19,123,0.5,0.6448,0.2368,0.0442,0.1316,0.1364
19,123,0.6,0.6448,0.2368,0.0442,0.1316,0.1364
19,123,0.7,0.6448,0.2368,0.0442,0.1316,0.1364
19,123,0.8,0.6448,0.2368,0.0442,0.1316,0.1364
19,123,0.9,0.6448,0.2368,0.0442,0.1316,0.1364
20,123,0.5,0.7121,0.5238,0.248,0.246,0.5
20,123,0.6,0.7121,0.5238,0.248,0.246,0.5
20,123,0.7,0.6722,0.4462,0.1395,0.2231,0.2727
20,123,0.8,0.6722,0.4462,0.1395,0.2231,0.2727
20,123,0.9,0.6722,0.4462,0.1395,0.2231,0.2727
21,123,0.5,0.6861,0.3478,0.0991,0.1391,0.3
21,123,0.6,0.6861,0.3478,0.0991,0.1391,0.3
21,123,0.7,0.6861,0.3478,0.0991,0.1391,0.3
21,123,0.8,0.6767,0.3557,0.1408,0.1516,0.3667
21,123,0.9,0.6767,0.3557,0.1408,0.1516,0.3667
22,123,0.5,0.6859,0.2913,0.1032,0.1654,0.1667
22,123,0.6,0.6927,0.2913,0.0794,0.1732,0.1667
22,123,0.7,0.6927,0.2913,0.0794,0.1732,0.1667
22,123,0.8,0.6927,0.2913,0.0794,0.1732,0.1667
22,123,0.9,0.6927,0.2913,0.0794,0.1732,0.1667
23,123,0.5,0.7099,0.3976,0.1697,0.1867,0.4
23,123,0.6,0.6658,0.2679,0.1063,0.1531,0.1333
23,123,0.7,0.7154,0.4116,0.16,0.2022,0.3
23,123,0.8,0.7154,0.4116,0.16,0.2022,0.3
23,123,0.9,0.7154,0.4116,0.16,0.2022,0.3
24,123,0.5,0.6538,0.3274,0.1075,0.1637,0.1724
24,123,0.6,0.6538,0.3274,0.1075,0.1637,0.1724
24,123,0.7,0.6538,0.3274,0.1075,0.1637,0.1724
24,123,0.8,0.6538,0.3274,0.1075,0.1637,0.1724
24,123,0.9,0.6538,0.3274,0.1075,0.1637,0.1724
25,123,0.5,0.6857,0.2374,0.058,0.1367,0.3333
25,123,0.6,0.6857,0.2374,0.058,0.1367,0.3333
25,123,0.7,0.6664,0.2435,0.052,0.155,0.3333
25,123,0.8,0.6664,0.2435,0.052,0.155,0.3333
25,123,0.9,0.6664,0.2435,0.052,0.155,0.3333
26,123,0.5,0.6312,0.2857,0.085,0.1494,0.25
26,123,0.6,0.6312,0.2857,0.085,0.1494,0.25
26,123,0.7,0.6299,0.2491,0.0627,0.1315,0.2143
26,123,0.8,0.6591,0.3108,0.0884,0.1419,0.25
26,123,0.9,0.6591,0.3108,0.0884,0.1419,0.25
27,123,0.5,0.674,0.467,0.2376,0.1813,0.2632
27,123,0.6,0.674,0.467,0.2376,0.1813,0.2632
27,123,0.7,0.674,0.467,0.2376,0.1813,0.2632
27,123,0.8,0.674,0.467,0.2376,0.1813,0.2632
27,123,0.9,0.6822,0.512,0.2359,0.2613,0.3158
28,123,0.5,0.6939,0.4348,0.2063,0.236,0.5625
28,123,0.6,0.6939,0.4348,0.2063,0.236,0.5625
28,123,0.7,0.7135,0.48,0.2282,0.2533,0.625
28,123,0.8,0.7135,0.48,0.2282,0.2533,0.625
28,123,0.9,0.7135,0.48,0.2282,0.2533,0.625
29,123,0.5,0.6657,0.3118,0.1303,0.1749,0.2222
29,123,0.6,0.6723,0.332,0.1423,0.1577,0.2222
29,123,0.7,0.6813,0.3887,0.1959,0.2024,0.3704
29,123,0.8,0.6813,0.3887,0.1959,0.2024,0.3704
29,123,0.9,0.6912,0.392,0.2016,0.232,0.3333
30,123,0.5,0.6898,0.3887,0.1068,0.1767,0.3333
30,123,0.6,0.6816,0.3618,0.1168,0.1638,0.2857
30,123,0.7,0.6675,0.3618,0.0825,0.1775,0.2857
30,123,0.8,0.6675,0.3618,0.0825,0.1775,0.2857
30,123,0.9,0.6675,0.3618,0.0825,0.1775,0.2857
