text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
1,123,0.5,0.6098,0.2815,0.0373,0.1333,0.037
1,123,0.6,0.6098,0.2815,0.0373,0.1333,0.037
1,123,0.7,0.6404,0.3649,0.0989,0.1754,0.1481
1,123,0.8,0.6318,0.4412,0.1333,0.1838,0.1852
1,123,0.9,0.6318,0.4412,0.1333,0.1838,0.1852
2,123,0.5,0.7025,0.264,0.1613,0.192,0.6154
2,123,0.6,0.7025,0.264,0.1613,0.192,0.6154
2,123,0.7,0.7025,0.264,0.1613,0.192,0.6154
2,123,0.8,0.7025,0.264,0.1613,0.192,0.6154
2,123,0.9,0.7025,0.264,0.1613,0.192,0.6154
3,123,0.5,0.6625,0.3372,0.1004,0.1533,0.2727
3,123,0.6,0.6625,0.3372,0.1004,0.1533,0.2727
3,123,0.7,0.6852,0.3454,0.1377,0.2329,0.2727
3,123,0.8,0.6852,0.3454,0.1377,0.2329,0.2727
3,123,0.9,0.6852,0.3454,0.1377,0.2329,0.2727
4,123,0.5,0.6483,0.2078,0.0526,0.1299,0.25
4,123,0.6,0.6579,0.2313,0.069,0.1497,0.25
4,123,0.7,0.6579,0.2313,0.069,0.1497,0.25
4,123,0.8,0.6579,0.2313,0.069,0.1497,0.25
4,123,0.9,0.6579,0.2313,0.069,0.1497,0.25
5,123,0.5,0.6784,0.3608,0.1146,0.1649,0.2778
5,123,0.6,0.6784,0.3608,0.1146,0.1649,0.2778
5,123,0.7,0.6784,0.3608,0.1146,0.1649,0.2778
5,123,0.8,0.6784,0.3608,0.1146,0.1649,0.2778
5,123,0.9,0.6784,0.3608,0.1146,0.1649,0.2778
6,123,0.5,0.7171,0.4481,0.1699,0.2468,0.44
6,123,0.6,0.7171,0.4481,0.1699,0.2468,0.44
6,123,0.7,0.7171,0.4481,0.1699,0.2468,0.44
6,123,0.8,0.7171,0.4481,0.1699,0.2468,0.44
6,123,0.9,0.7097,0.4437,0.1812,0.2379,0.44
7,123,0.5,0.6792,0.4113,0.1786,0.1773,0.3913
7,123,0.6,0.6792,0.4113,0.1786,0.1773,0.3913
7,123,0.7,0.6792,0.4113,0.1786,0.1773,0.3913
7,123,0.8,0.6792,0.4113,0.1786,0.1773,0.3913
7,123,0.9,0.6792,0.4113,0.1786,0.1773,0.3913
8,123,0.5,0.6927,0.4788,0.2005,0.2195,0.4333
8,123,0.6,0.702,0.4326,0.2251,0.2188,0.3667
8,123,0.7,0.7011,0.4532,0.2426,0.2365,0.5333
8,123,0.8,0.7187,0.466,0.2474,0.2513,0.5333
8,123,0.9,0.6973,0.4372,0.2121,0.2161,0.3333
9,123,0.5,0.6785,0.3526,0.1346,0.1824,0.2083
9,123,0.6,0.6785,0.3526,0.1346,0.1824,0.2083
9,123,0.7,0.6785,0.3526,0.1346,0.1824,0.2083
9,123,0.8,0.6785,0.3526,0.1346,0.1824,0.2083
9,123,0.9,0.6785,0.3526,0.1346,0.1824,0.2083
10,123,0.5,0.6336,0.2915,0.1024,0.122,0.3333
10,123,0.6,0.6353,0.3102,0.1262,0.132,0.3889
10,123,0.7,0.6353,0.3102,0.1262,0.132,0.3889
10,123,0.8,0.6373,0.3088,0.106,0.1404,0.3333
10,123,0.9,0.6373,0.3088,0.106,0.1404,0.3333
11,123,0.5,0.6951,0.2452,0.1299,0.1419,0.4706
11,123,0.6,0.6951,0.2452,0.1299,0.1419,0.4706
11,123,0.7,0.6951,0.2452,0.1299,0.1419,0.4706
11,123,0.8,0.6951,0.2452,0.1299,0.1419,0.4706
11,123,0.9,0.6712,0.2294,0.0866,0.1147,0.3529
12,123,0.5,0.6695,0.3187,0.0964,0.1275,0.28
12,123,0.6,0.6695,0.3187,0.0964,0.1275,0.28
12,123,0.7,0.6695,0.3187,0.0964,0.1275,0.28
12,123,0.8,0.6695,0.3187,0.0964,0.1275,0.28
12,123,0.9,0.6695,0.3187,0.0964,0.1275,0.28
13,123,0.5,0.6481,0.2348,0.0992,0.1212,0.2
13,123,0.6,0.6481,0.2348,0.0992,0.1212,0.2
13,123,0.7,0.6481,0.2348,0.0992,0.1212,0.2
13,123,0.8,0.6481,0.2348,0.0992,0.1212,0.2
13,123,0.9,0.6481,0.2348,0.0992,0.1212,0.2
