text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
23,42,0.7,0.6748,0.3696,0.1758,0.2065,0.3571
23,42,0.8,0.6748,0.3696,0.1758,0.2065,0.3571
23,42,0.9,0.6748,0.3696,0.1758,0.2065,0.3571
24,42,0.5,0.6991,0.3053,0.1279,0.1476,0.5
24,42,0.6,0.6991,0.3053,0.1279,0.1476,0.5
24,42,0.7,0.6991,0.3053,0.1279,0.1476,0.5
24,42,0.8,0.6991,0.3053,0.1279,0.1476,0.5
24,42,0.9,0.6865,0.3054,0.1265,0.1856,0.375
25,42,0.5,0.6859,0.2913,0.1032,0.1654,0.1667
25,42,0.6,0.6927,0.2913,0.0794,0.1732,0.1667
25,42,0.7,0.6927,0.2913,0.0794,0.1732,0.1667
25,42,0.8,0.6927,0.2913,0.0794,0.1732,0.1667
25,42,0.9,0.6927,0.2913,0.0794,0.1732,0.1667
26,42,0.5,0.6481,0.2348,0.0992,0.1212,0.2
26,42,0.6,0.6481,0.2348,0.0992,0.1212,0.2
26,42,0.7,0.6481,0.2348,0.0992,0.1212,0.2
26,42,0.8,0.6481,0.2348,0.0992,0.1212,0.2
26,42,0.9,0.6481,0.2348,0.0992,0.1212,0.2
27,42,0.5,0.6695,0.3187,0.0964,0.1275,0.28
27,42,0.6,0.6695,0.3187,0.0964,0.1275,0.28
27,42,0.7,0.6695,0.3187,0.0964,0.1275,0.28
27,42,0.8,0.6695,0.3187,0.0964,0.1275,0.28
27,42,0.9,0.6695,0.3187,0.0964,0.1275,0.28
28,42,0.5,0.6602,0.2605,0.0849,0.1456,0.15
28,42,0.6,0.6731,0.351,0.1399,0.2041,0.25
28,42,0.7,0.6731,0.351,0.1399,0.2041,0.25
28,42,0.8,0.6859,0.4033,0.1743,0.2222,0.25
28,42,0.9,0.6859,0.4033,0.1743,0.2222,0.25
29,42,0.5,0.6257,0.2894,0.0687,0.1362,0.2727
29,42,0.6,0.6531,0.3192,0.1137,0.1221,0.2727
29,42,0.7,0.6659,0.3426,0.1402,0.2315,0.2727
29,42,0.8,0.6659,0.3426,0.1402,0.2315,0.2727
29,42,0.9,0.6659,0.3426,0.1402,0.2315,0.2727
30,42,0.5,0.7205,0.4033,0.1992,0.2551,0.2941
30,42,0.6,0.7205,0.4033,0.1992,0.2551,0.2941
30,42,0.7,0.6767,0.3347,0.1152,0.2286,0.1765
30,42,0.8,0.6697,0.2251,0.0611,0.1558,0.1176
30,42,0.9,0.6697,0.2251,0.0611,0.1558,0.1176
