text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
1,42,0.5,0.6623,0.3757,0.1389,0.1878,0.2593
1,42,0.6,0.6623,0.3757,0.1389,0.1878,0.2593
1,42,0.7,0.6431,0.3416,0.1125,0.1366,0.2222
1,42,0.8,0.6431,0.3416,0.1125,0.1366,0.2222
1,42,0.9,0.6987,0.452,0.2159,0.209,0.4815
2,42,0.5,0.6352,0.2278,0.0717,0.1352,0.3333
2,42,0.6,0.6352,0.2278,0.0717,0.1352,0.3333
2,42,0.7,0.6352,0.2278,0.0717,0.1352,0.3333
2,42,0.8,0.6452,0.2344,0.0812,0.1465,0.3333
2,42,0.9,0.6452,0.2344,0.0812,0.1465,0.3333
3,42,0.5,0.6501,0.32,0.1387,0.16,0.2222
3,42,0.6,0.6501,0.32,0.1387,0.16,0.2222
3,42,0.7,0.6501,0.32,0.1387,0.16,0.2222
3,42,0.8,0.6501,0.32,0.1387,0.16,0.2222
3,42,0.9,0.6501,0.32,0.1387,0.16,0.2222
4,42,0.5,0.6718,0.3725,0.1316,0.1699,0.3571
4,42,0.6,0.6718,0.3725,0.1316,0.1699,0.3571
4,42,0.7,0.6718,0.3725,0.1316,0.1699,0.3571
4,42,0.8,0.6718,0.3725,0.1316,0.1699,0.3571
4,42,0.9,0.6712,0.3451,0.1489,0.1972,0.3214
5,42,0.5,0.7072,0.3158,0.1439,0.188,0.375
5,42,0.6,0.694,0.2937,0.104,0.1587,0.25
5,42,0.7,0.694,0.2937,0.104,0.1587,0.25
5,42,0.8,0.694,0.2937,0.104,0.1587,0.25
5,42,0.9,0.694,0.2937,0.104,0.1587,0.25
6,42,0.5,0.6677,0.3374,0.0747,0.1646,0.1724
6,42,0.6,0.6677,0.3374,0.0747,0.1646,0.1724
6,42,0.7,0.6677,0.3374,0.0747,0.1646,0.1724
6,42,0.8,0.6677,0.3374,0.0747,0.1646,0.1724
6,42,0.9,0.6677,0.3374,0.0747,0.1646,0.1724
7,42,0.5,0.6857,0.2374,0.058,0.1367,0.3333
7,42,0.6,0.6857,0.2374,0.058,0.1367,0.3333
7,42,0.7,0.6664,0.2435,0.052,0.155,0.3333
7,42,0.8,0.6664,0.2435,0.052,0.155,0.3333
7,42,0.9,0.6664,0.2435,0.052,0.155,0.3333
8,42,0.5,0.6629,0.362,0.1731,0.1424,0.2857
8,42,0.6,0.6629,0.362,0.1731,0.1424,0.2857
8,42,0.7,0.6629,0.362,0.1731,0.1424,0.2857
8,42,0.8,0.6629,0.362,0.1731,0.1424,0.2857
8,42,0.9,0.6632,0.3976,0.1908,0.1835,0.2857
9,42,0.5,0.6625,0.3372,0.1004,0.1533,0.2727
9,42,0.6,0.6625,0.3372,0.1004,0.1533,0.2727
9,42,0.7,0.6852,0.3454,0.1377,0.2329,0.2727
9,42,0.8,0.6852,0.3454,0.1377,0.2329,0.2727
9,42,0.9,0.6852,0.3454,0.1377,0.2329,0.2727
10,42,0.5,0.6879,0.4083,0.1766,0.2429,0.2821
10,42,0.6,0.6879,0.4083,0.1766,0.2429,0.2821
10,42,0.7,0.6877,0.4072,0.1865,0.2165,0.3333
10,42,0.8,0.7088,0.4591,0.2334,0.2269,0.359
10,42,0.9,0.7088,0.4591,0.2334,0.2269,0.359
11,42,0.5,0.7334,0.375,0.2,0.2132,0.56
11,42,0.6,0.7334,0.375,0.2,0.2132,0.56
11,42,0.7,0.7334,0.375,0.2,0.2132,0.56
11,42,0.8,0.7447,0.3954,0.1916,0.1749,0.6
11,42,0.9,0.7447,0.3954,0.1916,0.1749,0.6
12,42,0.5,0.6665,0.396,0.1595,0.1386,0.3214
12,42,0.6,0.6595,0.412,0.1873,0.1528,0.3571
12,42,0.7,0.6632,0.3803,0.1489,0.1479,0.3214
12,42,0.8,0.6653,0.3881,0.1353,0.1567,0.2857
12,42,0.9,0.6653,0.3881,0.1353,0.1567,0.2857
13,42,0.5,0.674,0.467,0.2376,0.1813,0.2632
13,42,0.6,0.674,0.467,0.2376,0.1813,0.2632
13,42,0.7,0.674,0.467,0.2376,0.1813,0.2632
13,42,0.8,0.674,0.467,0.2376,0.1813,0.2632
13,42,0.9,0.6822,0.512,0.2359,0.2613,0.3158
14,42,0.5,0.6529,0.2764,0.1066,0.1545,0.2941
14,42,0.6,0.6529,0.2764,0.1066,0.1545,0.2941
14,42,0.7,0.6463,0.2343,0.0759,0.1172,0.1765
14,42,0.8,0.6463,0.2343,0.0759,0.1172,0.1765
14,42,0.9,0.6463,0.2343,0.0759,0.1172,0.1765
15,42,0.5,0.6494,0.3675,0.2155,0.2308,0.3226
15,42,0.6,0.6494,0.3675,0.2155,0.2308,0.3226
15,42,0.7,0.6494,0.3675,0.2155,0.2308,0.3226
15,42,0.8,0.6238,0.2933,0.1166,0.1778,0.1935
15,42,0.9,0.6238,0.2933,0.1166,0.1778,0.1935
16,42,0.5,0.6806,0.3716,0.1633,0.1757,0.2812
16,42,0.6,0.6806,0.3716,0.1633,0.1757,0.2812
16,42,0.7,0.6806,0.3716,0.1633,0.1757,0.2812
16,42,0.8,0.6909,0.3896,0.1699,0.1948,0.2812
16,42,0.9,0.6909,0.3896,0.1699,0.1948,0.2812
17,42,0.5,0.7396,0.4556,0.2262,0.2663,0.3889
17,42,0.6,0.7396,0.4556,0.2262,0.2663,0.3889
17,42,0.7,0.7396,0.4556,0.2262,0.2663,0.3889
17,42,0.8,0.6605,0.3533,0.0508,0.1388,0.1111
17,42,0.9,0.6605,0.3533,0.0508,0.1388,0.1111
18,42,0.5,0.6336,0.2915,0.1024,0.122,0.3333
18,42,0.6,0.6353,0.3102,0.1262,0.132,0.3889
18,42,0.7,0.6353,0.3102,0.1262,0.132,0.3889
18,42,0.8,0.6373,0.3088,0.106,0.1404,0.3333
18,42,0.9,0.6373,0.3088,0.106,0.1404,0.3333
19,42,0.5,0.7075,0.4093,0.2135,0.1813,0.5185
19,42,0.6,0.7075,0.4093,0.2135,0.1813,0.5185
19,42,0.7,0.6964,0.4031,0.2,0.1885,0.4444
19,42,0.8,0.6964,0.4031,0.2,0.1885,0.4444
19,42,0.9,0.6964,0.4031,0.2,0.1885,0.4444
20,42,0.5,0.6893,0.2986,0.1473,0.1408,0.4091
20,42,0.6,0.6893,0.2986,0.1473,0.1408,0.4091
20,42,0.7,0.6957,0.3114,0.1627,0.1737,0.4545
20,42,0.8,0.6957,0.3114,0.1627,0.1737,0.4545
20,42,0.9,0.6957,0.3114,0.1627,0.1737,0.4545
21,42,0.5,0.6549,0.2328,0.113,0.1379,0.3846
21,42,0.6,0.6549,0.2328,0.113,0.1379,0.3846
21,42,0.7,0.6549,0.2328,0.113,0.1379,0.3846
21,42,0.8,0.6532,0.2088,0.1053,0.1285,0.3846
21,42,0.9,0.6532,0.2088,0.1053,0.1285,0.3846
22,42,0.5,0.6538,0.3274,0.1075,0.1637,0.1724
22,42,0.6,0.6538,0.3274,0.1075,0.1637,0.1724
22,42,0.7,0.6538,0.3274,0.1075,0.1637,0.1724
22,42,0.8,0.6538,0.3274,0.1075,0.1637,0.1724
22,42,0.9,0.6538,0.3274,0.1075,0.1637,0.1724
23,42,0.5,0.6748,0.3696,0.1758,0.2065,0.3571
23,42,0.6,0.6748,0.3696,0.1758,0.2065,0.3571
