ext_ratio_pct,n_texts,hyb_bert_f1_mean,hyb_bert_f1_std,hyb_rouge1_mean,hyb_rouge1_std,hyb_rouge2_mean,hyb_rouge2_std,hyb_rougeL_mean,hyb_rougeL_std,hyb_kw_match_mean,hyb_kw_match_std,hyb_kw_content_match_mean,hyb_kw_content_match_std,gen_bert_f1_mean,gen_rouge1_mean,gen_rouge2_mean,gen_rougeL_mean,gen_kw_match_mean,gen_kw_content_match_mean,truncation_rate,avg_bart_tokens
1,30,0.6356,0.0404,0.1701,0.0742,0.0373,0.0343,0.1289,0.061,0.0259,0.0245,0.0385,0.0478,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,10.9
2,30,0.6356,0.0404,0.1701,0.0742,0.0373,0.0343,0.1289,0.061,0.0259,0.0245,0.0385,0.0478,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,10.9
3,30,0.6356,0.0404,0.1701,0.0742,0.0373,0.0343,0.1289,0.061,0.0259,0.0245,0.0385,0.0478,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,10.9
4,30,0.6356,0.0404,0.1701,0.0742,0.0373,0.0343,0.1289,0.061,0.0259,0.0245,0.0385,0.0478,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,10.9
5,30,0.6356,0.0404,0.1701,0.0742,0.0373,0.0343,0.1289,0.061,0.0259,0.0245,0.0385,0.0478,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,10.9
6,30,0.6355,0.0405,0.173,0.0735,0.0379,0.0337,0.1299,0.0605,0.0263,0.0241,0.0403,0.0473,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,11.1
7,30,0.6368,0.0389,0.1757,0.0738,0.0377,0.0334,0.1304,0.0596,0.0263,0.0241,0.0403,0.0473,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,12.1
8,30,0.638,0.0384,0.1974,0.0769,0.0422,0.0393,0.1392,0.0544,0.0304,0.0294,0.0445,0.0527,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,14.9
9,30,0.6391,0.0409,0.2018,0.0744,0.0418,0.0375,0.1377,0.0513,0.0313,0.0292,0.0457,0.0487,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,17.1
10,30,0.6458,0.0348,0.2304,0.0647,0.0522,0.037,0.1493,0.0423,0.04,0.0283,0.0571,0.0472,0.67,0.2144,0.114,0.1224,0.4076,0.5308,0.0,20.4
