ext_ratio_pct,n_texts,hyb_bert_f1_mean,hyb_bert_f1_std,hyb_rouge1_mean,hyb_rouge1_std,hyb_rouge2_mean,hyb_rouge2_std,hyb_rougeL_mean,hyb_rougeL_std,hyb_kw_match_mean,hyb_kw_match_std,hyb_kw_content_match_mean,hyb_kw_content_match_std,gen_bert_f1_mean,gen_rouge1_mean,gen_rouge2_mean,gen_rougeL_mean,gen_kw_match_mean,gen_kw_content_match_mean,truncation_rate,avg_bart_tokens
1,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
2,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
3,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
4,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
5,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
6,30,0.6293,0.0427,0.1753,0.0781,0.0437,0.0403,0.1227,0.0493,0.0292,0.0299,0.0498,0.0543,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,10.9
7,30,0.6331,0.0445,0.1845,0.0805,0.0464,0.0418,0.1282,0.0519,0.0316,0.0312,0.0537,0.0556,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,11.9
8,30,0.6391,0.0437,0.2003,0.0794,0.0546,0.0425,0.1354,0.0506,0.0386,0.0337,0.0597,0.0546,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,14.0
9,30,0.6423,0.0408,0.2172,0.0787,0.0641,0.0524,0.1457,0.0497,0.0468,0.0419,0.0688,0.0609,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,16.5
10,30,0.649,0.0393,0.2401,0.0815,0.0725,0.0512,0.157,0.051,0.0553,0.0402,0.0895,0.0647,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,20.4
11,30,0.6526,0.0358,0.2595,0.076,0.0784,0.0473,0.1616,0.0433,0.0605,0.0375,0.0993,0.0598,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,23.9
12,30,0.6529,0.0356,0.2664,0.0776,0.0825,0.0517,0.1645,0.0469,0.0653,0.0454,0.1077,0.0676,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,26.1
13,30,0.6529,0.0356,0.2664,0.0776,0.0825,0.0517,0.1645,0.0469,0.0653,0.0454,0.1077,0.0676,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,26.1
