ext_ratio_pct,n_texts,hyb_bert_f1_mean,hyb_bert_f1_std,hyb_rouge1_mean,hyb_rouge1_std,hyb_rouge2_mean,hyb_rouge2_std,hyb_rougeL_mean,hyb_rougeL_std,hyb_kw_match_mean,hyb_kw_match_std,hyb_kw_content_match_mean,hyb_kw_content_match_std,gen_bert_f1_mean,gen_rouge1_mean,gen_rouge2_mean,gen_rougeL_mean,gen_kw_match_mean,gen_kw_content_match_mean,truncation_rate,avg_bart_tokens
14,30,0.6559,0.034,0.275,0.0738,0.0851,0.0513,0.1664,0.0462,0.0676,0.0452,0.1102,0.065,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,29.1
15,30,0.6553,0.0337,0.2771,0.0741,0.0812,0.0446,0.1644,0.0442,0.0652,0.0417,0.1088,0.0641,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,30.2
16,30,0.6531,0.0289,0.2767,0.0627,0.0776,0.0389,0.1592,0.0365,0.0619,0.0321,0.1047,0.0542,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,33.9
17,30,0.653,0.0312,0.2981,0.076,0.0872,0.0544,0.1695,0.0485,0.0722,0.0484,0.1141,0.0673,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,38.2
18,30,0.6558,0.0327,0.3024,0.0733,0.0894,0.0551,0.1736,0.0493,0.0748,0.0485,0.12,0.0652,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,40.3
19,30,0.6566,0.033,0.3062,0.0705,0.0922,0.0539,0.1769,0.0514,0.0789,0.0495,0.126,0.0706,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,41.3
20,30,0.6601,0.0298,0.3206,0.0682,0.0974,0.0548,0.1819,0.05,0.0859,0.05,0.1308,0.0733,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,44.4
21,30,0.6657,0.0314,0.3347,0.0758,0.1094,0.0606,0.1931,0.0526,0.099,0.0577,0.1429,0.0781,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,46.3
22,30,0.6768,0.0363,0.3616,0.0863,0.1309,0.0654,0.2116,0.0596,0.1186,0.0591,0.1712,0.0872,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,51.7
23,30,0.6768,0.0363,0.3616,0.0863,0.1309,0.0654,0.2116,0.0596,0.1186,0.0591,0.1712,0.0872,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,51.7
24,30,0.6794,0.0337,0.3646,0.0916,0.1314,0.061,0.2098,0.061,0.1231,0.0592,0.1822,0.0833,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,58.1
25,30,0.679,0.0327,0.3619,0.093,0.1282,0.0608,0.2054,0.0609,0.1211,0.0563,0.181,0.0815,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,62.4
26,30,0.6797,0.0329,0.3677,0.0915,0.1281,0.0619,0.2094,0.0597,0.124,0.0598,0.1829,0.0846,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,64.4
27,30,0.6787,0.0332,0.365,0.09,0.1278,0.0587,0.2049,0.059,0.1298,0.0604,0.1942,0.0831,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,68.9
28,30,0.6776,0.0341,0.3611,0.0911,0.1246,0.061,0.2003,0.0578,0.1272,0.0626,0.1889,0.0836,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,69.7
29,30,0.6782,0.0379,0.3621,0.0892,0.1301,0.064,0.1974,0.0559,0.1387,0.0668,0.2014,0.0908,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,74.4
30,30,0.6781,0.0379,0.3603,0.0907,0.1294,0.0646,0.1968,0.0562,0.1387,0.0668,0.2014,0.0908,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,75.4
31,30,0.6795,0.0366,0.3702,0.091,0.1336,0.0659,0.2002,0.053,0.149,0.0709,0.2064,0.0922,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,83.6
32,30,0.6795,0.0366,0.3702,0.091,0.1336,0.0659,0.2002,0.053,0.149,0.0709,0.2064,0.0922,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,83.6
33,30,0.6805,0.0367,0.3674,0.0904,0.1327,0.0642,0.1969,0.0543,0.1524,0.0716,0.2146,0.0899,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,88.4
34,30,0.6805,0.0367,0.3674,0.0904,0.1327,0.0642,0.1969,0.0543,0.1524,0.0716,0.2146,0.0899,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,88.4
35,30,0.6787,0.0291,0.3644,0.0891,0.132,0.0611,0.1934,0.0471,0.16,0.0717,0.2226,0.0907,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,94.0
36,30,0.6774,0.0286,0.3665,0.0895,0.132,0.0604,0.1954,0.0479,0.1631,0.0725,0.2251,0.0875,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,96.6
37,30,0.6797,0.028,0.3684,0.0929,0.1383,0.0663,0.1922,0.0474,0.1768,0.08,0.243,0.0968,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,103.8
38,30,0.6797,0.028,0.3684,0.0929,0.1383,0.0663,0.1922,0.0474,0.1768,0.08,0.243,0.0968,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,103.8
39,30,0.6808,0.0273,0.373,0.0933,0.1407,0.0655,0.1946,0.0489,0.1823,0.0788,0.2494,0.0925,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,105.9
40,30,0.6829,0.0263,0.3821,0.0874,0.146,0.0608,0.197,0.0473,0.1923,0.0706,0.2646,0.0921,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,109.1
41,30,0.6845,0.0226,0.3807,0.0917,0.1508,0.0639,0.1968,0.0462,0.2044,0.0752,0.2751,0.0961,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,113.8
42,30,0.6856,0.0252,0.382,0.0903,0.1558,0.0709,0.1986,0.0427,0.2167,0.0878,0.2854,0.1034,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,119.1
43,30,0.6854,0.0251,0.3803,0.0919,0.1552,0.0713,0.1977,0.0436,0.2167,0.0878,0.2854,0.1034,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,120.7
44,30,0.6815,0.0267,0.3678,0.097,0.149,0.0746,0.1929,0.0446,0.2126,0.0977,0.2864,0.1139,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,125.2
45,30,0.6805,0.0262,0.3606,0.0998,0.1457,0.0745,0.1896,0.0438,0.2114,0.0964,0.284,0.1137,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,129.6
46,30,0.6817,0.0258,0.3629,0.1019,0.1484,0.0759,0.191,0.0447,0.2195,0.1012,0.2982,0.1231,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,133.0
47,30,0.68,0.0263,0.362,0.0963,0.1481,0.072,0.1889,0.0457,0.2298,0.0996,0.3139,0.1213,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,140.1
48,30,0.6795,0.026,0.3608,0.098,0.1508,0.0714,0.186,0.0473,0.2345,0.1037,0.3187,0.1214,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,143.8
49,30,0.6795,0.026,0.3608,0.098,0.1508,0.0714,0.186,0.0473,0.2345,0.1037,0.3187,0.1214,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,143.8
50,30,0.68,0.0275,0.3524,0.096,0.1479,0.0646,0.1822,0.044,0.2402,0.0942,0.3174,0.1162,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,152.6
51,30,0.6812,0.0271,0.3488,0.0956,0.1464,0.0645,0.1794,0.0397,0.2452,0.0948,0.3254,0.1164,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,159.2
52,30,0.6812,0.0271,0.3488,0.0956,0.1464,0.0645,0.1794,0.0397,0.2452,0.0948,0.3254,0.1164,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,159.2
53,30,0.6796,0.0248,0.3428,0.0906,0.139,0.0543,0.1773,0.0411,0.2401,0.0829,0.3202,0.1029,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,162.8
54,30,0.6788,0.0236,0.3372,0.0876,0.1394,0.0516,0.1738,0.043,0.2471,0.0792,0.3284,0.1005,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,169.5
55,30,0.6792,0.0214,0.337,0.0816,0.1395,0.0464,0.1727,0.0421,0.2535,0.0768,0.3395,0.1045,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,173.5
56,30,0.6782,0.0219,0.3359,0.0843,0.141,0.0485,0.1733,0.0449,0.2579,0.0793,0.3459,0.105,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,176.9
57,30,0.6767,0.0201,0.3335,0.0836,0.1392,0.0491,0.1716,0.0437,0.2613,0.0855,0.3533,0.102,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,183.1
58,30,0.6765,0.0201,0.3318,0.0853,0.1386,0.0497,0.1711,0.0441,0.2604,0.0858,0.3516,0.1016,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,184.2
59,30,0.6772,0.0192,0.3341,0.0869,0.1421,0.0512,0.1719,0.0431,0.267,0.0882,0.3552,0.0921,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,189.2
60,30,0.6789,0.0192,0.3336,0.0868,0.1443,0.0535,0.1743,0.0426,0.2785,0.0929,0.3687,0.103,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,194.8
61,30,0.6809,0.0177,0.3349,0.0826,0.1469,0.0496,0.1764,0.0398,0.291,0.0907,0.3836,0.1121,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,200.1
62,30,0.6805,0.0181,0.3324,0.0812,0.1469,0.0478,0.1741,0.0387,0.2968,0.0926,0.3907,0.1215,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,204.3
63,30,0.6805,0.0181,0.3324,0.0812,0.1469,0.0478,0.1741,0.0387,0.2968,0.0926,0.3907,0.1215,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,204.3
64,30,0.6774,0.0166,0.3222,0.0746,0.1425,0.04,0.1703,0.038,0.3014,0.0889,0.399,0.1276,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,214.3
65,30,0.6778,0.0171,0.3197,0.0752,0.1415,0.0401,0.1678,0.0366,0.302,0.0904,0.4006,0.1298,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,217.3
66,30,0.6755,0.0197,0.3137,0.0847,0.138,0.0504,0.1663,0.0394,0.2928,0.0897,0.3938,0.1134,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,224.4
67,30,0.6755,0.0197,0.3137,0.0847,0.138,0.0504,0.1663,0.0394,0.2928,0.0897,0.3938,0.1134,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,224.4
68,30,0.6755,0.0193,0.3075,0.0843,0.1361,0.0495,0.1638,0.0403,0.2976,0.093,0.3941,0.1181,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,232.5
69,30,0.6755,0.0193,0.3075,0.0843,0.1361,0.0495,0.1638,0.0403,0.2976,0.093,0.3941,0.1181,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,232.5
70,30,0.676,0.0203,0.3064,0.0832,0.14,0.0533,0.1684,0.0423,0.3104,0.0987,0.4084,0.1202,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,238.4
71,30,0.6772,0.0209,0.3055,0.0841,0.1447,0.0544,0.1695,0.0406,0.3239,0.1014,0.4252,0.1233,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,243.3
72,30,0.6785,0.0194,0.303,0.0833,0.1452,0.0487,0.1683,0.0438,0.3352,0.0983,0.4453,0.1337,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,250.3
73,30,0.6795,0.0187,0.3043,0.0834,0.1465,0.0482,0.1684,0.0439,0.3404,0.0947,0.4523,0.1262,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,251.9
74,30,0.6793,0.0195,0.3023,0.0807,0.1484,0.0486,0.1668,0.0421,0.3525,0.0995,0.4681,0.1273,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,259
75,30,0.6799,0.0177,0.3013,0.081,0.148,0.0474,0.1653,0.0395,0.3535,0.0944,0.4693,0.1204,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,262.7
76,30,0.6797,0.0181,0.3,0.0828,0.1479,0.0483,0.1657,0.041,0.3586,0.0922,0.4737,0.1181,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,266.7
77,30,0.6793,0.0174,0.2939,0.0848,0.1462,0.047,0.1629,0.0412,0.3668,0.1018,0.4727,0.1328,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,276.3
78,30,0.6793,0.0174,0.2939,0.0848,0.1462,0.047,0.1629,0.0412,0.3668,0.1018,0.4727,0.1328,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,276.3
79,30,0.6789,0.0188,0.287,0.0819,0.1436,0.0461,0.159,0.034,0.3722,0.099,0.4722,0.1287,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,284.5
80,30,0.6776,0.0182,0.2848,0.0818,0.1397,0.0461,0.1572,0.0348,0.3613,0.0892,0.4535,0.1266,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,288.7
81,30,0.6798,0.0194,0.2806,0.0785,0.1409,0.0489,0.1568,0.0368,0.373,0.1013,0.467,0.1376,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,297.5
82,30,0.6787,0.0205,0.2799,0.0796,0.1403,0.0496,0.1567,0.037,0.3722,0.0988,0.467,0.1376,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,299.8
83,30,0.6788,0.0203,0.277,0.08,0.1412,0.0493,0.1565,0.0361,0.3781,0.0907,0.4689,0.1337,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,305.3
84,30,0.679,0.0233,0.27,0.0757,0.1383,0.0476,0.1537,0.0357,0.3821,0.0882,0.4807,0.1298,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,314.9
85,30,0.6771,0.0211,0.2675,0.0803,0.1363,0.0495,0.1516,0.0386,0.3787,0.0879,0.4897,0.1333,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,323.3
86,30,0.6769,0.0213,0.2654,0.0789,0.1373,0.0493,0.151,0.0387,0.3848,0.0855,0.4988,0.1237,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,325.2
87,30,0.6771,0.0193,0.2645,0.0775,0.1371,0.046,0.1479,0.0354,0.3948,0.1043,0.5081,0.138,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,332.8
88,30,0.6771,0.0193,0.2645,0.0775,0.1371,0.046,0.1479,0.0354,0.3948,0.1043,0.5081,0.138,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,332.8
89,30,0.6751,0.0181,0.2627,0.0792,0.1352,0.0473,0.1452,0.0374,0.3895,0.1062,0.503,0.1385,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,337.7
90,30,0.6749,0.0173,0.2591,0.0779,0.1329,0.0469,0.1438,0.0361,0.3968,0.1086,0.5033,0.1348,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,350.3
91,30,0.6741,0.018,0.2571,0.0761,0.1327,0.048,0.1417,0.034,0.4007,0.1069,0.5057,0.1314,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,354.7
92,30,0.6742,0.0188,0.2529,0.0719,0.1298,0.0433,0.1409,0.0319,0.3991,0.1037,0.5007,0.1336,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,362.2
93,30,0.6734,0.0178,0.2494,0.0704,0.1275,0.0412,0.1416,0.032,0.3991,0.0913,0.4994,0.1138,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,370.2
94,30,0.6717,0.0192,0.2461,0.0731,0.1252,0.0414,0.141,0.0323,0.3961,0.0947,0.4932,0.1188,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,374.6
95,30,0.6722,0.019,0.246,0.0731,0.1249,0.0414,0.1421,0.0333,0.3967,0.0945,0.4949,0.1189,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,375.7
96,30,0.6722,0.019,0.246,0.0731,0.1249,0.0414,0.1421,0.0333,0.3967,0.0945,0.4949,0.1189,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,375.7
97,30,0.6722,0.0205,0.2368,0.0711,0.1213,0.0378,0.1374,0.0336,0.4008,0.0925,0.503,0.121,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.0,393.7
98,30,0.6733,0.0204,0.2322,0.0679,0.1193,0.0395,0.1314,0.0344,0.4026,0.0927,0.5184,0.1148,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.2,410.9
99,30,0.6733,0.0204,0.2322,0.0679,0.1193,0.0395,0.1314,0.0344,0.4026,0.0927,0.5184,0.1148,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.2,410.9
100,30,0.6733,0.0204,0.2322,0.0679,0.1193,0.0395,0.1314,0.0344,0.4026,0.0927,0.5184,0.1148,0.6677,0.2291,0.1167,0.1288,0.3888,0.4908,0.2,410.9
