text_idx,seed,b1_bert_f1,b1_rouge1,b1_rouge2,b1_rougeL,b1_kw_content,b2_bert_f1,b2_rouge1,b2_rouge2,b2_rougeL,b2_kw_content,b3_bert_f1,b3_rouge1,b3_rouge2,b3_rougeL,b3_kw_content,b4_bert_f1,b4_rouge1,b4_rouge2,b4_rougeL,b4_kw_content
1,42,0.6724,0.2571,0.1169,0.1345,0.4444,0.6925,0.352,0.1825,0.1702,0.5185,0.6853,0.4031,0.2,0.1888,0.4815,0.686,0.3657,0.127,0.1716,0.4074
2,42,0.6745,0.1315,0.0911,0.1033,0.7333,0.6457,0.1839,0.0878,0.1241,0.4667,0.6551,0.2405,0.1357,0.1466,0.6667,0.6819,0.2471,0.1598,0.1882,0.6667
3,42,0.6311,0.1246,0.0625,0.0865,0.4444,0.6472,0.2345,0.0972,0.1379,0.2778,0.6386,0.2488,0.1116,0.1659,0.1667,0.6487,0.2195,0.092,0.1159,0.4444
4,42,0.6549,0.1994,0.0862,0.1074,0.3571,0.6915,0.341,0.1528,0.1567,0.5,0.6897,0.3506,0.1737,0.158,0.4286,0.6981,0.3501,0.1707,0.1751,0.3929
5,42,0.6665,0.1695,0.0835,0.1048,0.5,0.7142,0.2812,0.1466,0.1562,0.4167,0.6907,0.2264,0.0976,0.1186,0.375,0.7078,0.2746,0.1562,0.1658,0.5
6,42,0.6792,0.2634,0.1379,0.1336,0.4483,0.6763,0.2939,0.1217,0.1499,0.3448,0.6923,0.3833,0.1965,0.223,0.3793,0.6969,0.3789,0.1343,0.1684,0.3103
7,42,0.6731,0.1758,0.0932,0.1028,0.5333,0.6743,0.1914,0.0673,0.11,0.4,0.7127,0.2965,0.1696,0.1919,0.7333,0.7034,0.2691,0.1354,0.1651,0.4667
8,42,0.6555,0.255,0.1264,0.1175,0.4857,0.6623,0.3177,0.1431,0.1507,0.4,0.6822,0.384,0.1805,0.1546,0.4,0.6579,0.3061,0.1516,0.1468,0.3714
9,42,0.6247,0.1657,0.0496,0.0814,0.4545,0.6719,0.267,0.0971,0.1648,0.2727,0.6777,0.2926,0.1639,0.1966,0.6364,0.6663,0.2546,0.1442,0.1574,0.5455
10,42,0.6698,0.307,0.1525,0.1492,0.4103,0.7031,0.3977,0.1919,0.2141,0.4103,0.7044,0.4193,0.1743,0.2169,0.3077,0.6894,0.4215,0.203,0.1978,0.3846
11,42,0.6814,0.2146,0.1154,0.1034,0.64,0.7275,0.2757,0.1461,0.1704,0.6,0.7401,0.3709,0.2133,0.2185,0.64,0.7228,0.3376,0.1667,0.1975,0.56
12,42,0.64,0.2403,0.1028,0.1307,0.3929,0.6761,0.3416,0.1493,0.1584,0.3571,0.6684,0.3597,0.1918,0.2071,0.4643,0.6701,0.4121,0.2012,0.2061,0.4643
13,42,0.7439,0.344,0.2433,0.176,0.6053,0.6844,0.4308,0.2262,0.1937,0.3947,0.741,0.4021,0.2211,0.1993,0.5,0.6845,0.4513,0.2609,0.2166,0.5
14,42,0.6488,0.1881,0.1079,0.1075,0.5882,0.6599,0.2378,0.1166,0.1646,0.2941,0.692,0.2875,0.1801,0.1853,0.4706,0.691,0.2821,0.1742,0.1667,0.5294
15,42,0.6896,0.2891,0.1869,0.1624,0.7419,0.6615,0.3427,0.2006,0.2118,0.3871,0.6999,0.4072,0.253,0.2395,0.6774,0.694,0.3636,0.2114,0.1989,0.6129
16,42,0.6906,0.3047,0.1793,0.1331,0.5312,0.7004,0.3935,0.2279,0.1713,0.5625,0.7051,0.4527,0.2594,0.2063,0.5,0.7145,0.4682,0.2626,0.2207,0.4062
17,42,0.6833,0.2724,0.1205,0.1575,0.5556,0.7246,0.4168,0.2452,0.2189,0.5,0.7089,0.41,0.1968,0.1868,0.4444,0.6591,0.3389,0.0882,0.1506,0.1944
18,42,0.6329,0.1497,0.0652,0.1017,0.5556,0.6374,0.2601,0.1261,0.1211,0.5556,0.6611,0.2642,0.1192,0.1617,0.5,0.6507,0.2338,0.13,0.1211,0.5556
19,42,0.7414,0.219,0.1423,0.154,0.7037,0.6898,0.3046,0.1547,0.1468,0.5185,0.7351,0.3769,0.2409,0.2484,0.6667,0.7103,0.3636,0.2329,0.2818,0.5926
20,42,0.673,0.1592,0.0784,0.1006,0.4091,0.709,0.2339,0.1409,0.1559,0.6364,0.6924,0.2384,0.1286,0.1634,0.4091,0.7,0.2583,0.1423,0.1333,0.5455
21,42,0.6496,0.1246,0.0743,0.1077,0.5385,0.6601,0.1775,0.0997,0.1305,0.4615,0.6738,0.2173,0.1232,0.1783,0.6154,0.6511,0.1596,0.1103,0.1397,0.4615
22,42,0.645,0.2304,0.0806,0.1396,0.2759,0.673,0.2987,0.117,0.1671,0.3103,0.6828,0.3864,0.2057,0.2216,0.4828,0.6424,0.3275,0.0824,0.1579,0.1724
23,42,0.6947,0.2312,0.1465,0.1658,0.6429,0.6782,0.2741,0.1194,0.1852,0.3571,0.7209,0.3502,0.2275,0.2335,0.6429,0.7347,0.3568,0.2008,0.2656,0.5714
24,42,0.663,0.1697,0.0781,0.1029,0.5,0.6942,0.2339,0.1156,0.1361,0.6667,0.6752,0.251,0.0924,0.1381,0.5,0.6878,0.248,0.1143,0.126,0.5417
25,42,0.6792,0.2308,0.1342,0.1338,0.5833,0.6998,0.3134,0.1146,0.1766,0.375,0.7068,0.3353,0.1627,0.1976,0.5,0.7003,0.3269,0.1616,0.1773,0.5417
26,42,0.6877,0.2043,0.1149,0.1207,0.65,0.6318,0.2141,0.0892,0.1044,0.25,0.6545,0.2671,0.1373,0.1662,0.35,0.6613,0.2675,0.1223,0.1763,0.3
27,42,0.672,0.2504,0.1396,0.1357,0.68,0.669,0.3179,0.1082,0.1385,0.32,0.6963,0.3941,0.2012,0.2353,0.52,0.6913,0.3276,0.1916,0.2054,0.64
28,42,0.6757,0.2232,0.1237,0.1322,0.6,0.6809,0.3417,0.1746,0.2129,0.35,0.6868,0.3693,0.1829,0.1989,0.35,0.714,0.384,0.2248,0.2063,0.55
29,42,0.6044,0.1355,0.0368,0.0623,0.2727,0.6519,0.2469,0.1056,0.1111,0.3636,0.6186,0.2242,0.0488,0.0848,0.3636,0.6187,0.1719,0.0524,0.0885,0.2727
30,42,0.7016,0.2003,0.1485,0.1248,0.6471,0.6821,0.3003,0.1083,0.136,0.3529,0.6866,0.3352,0.1768,0.2308,0.4706,0.6811,0.3649,0.1633,0.2027,0.2941
